Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
0	read_0072a710-789f-4a72-815a-aafddddee9d3	2048	48128	171.125	292.5
1	read_0148c2ae-0678-44c8-9e05-8a4ba1cb56f6	2048	48128	120.562	283.75
2	read_017200a2-1cc9-4546-83c8-d2898bff20f8	2048	48128	169	298.75
3	read_0177b7f3-8c74-4915-ab51-d69cfda6fd69	2048	48128	303	178.5
4	read_01988dbe-c160-4401-a6ba-b2e49c7ba65f	2048	48128	286	151.125
5	read_0199ab5f-1673-409b-9d63-6ab9af18b4ad	2048	48128	284.75	121.5
6	read_02c3ca4e-3540-4e5f-b468-067771e0e1e4	2048	48128	345.75	218.25
7	read_0347298e-a706-45aa-b771-426956ace539	2048	48128	276.5	123.75
8	read_039db125-54d1-4252-9544-d966d11770a1	2048	48128	266	199.5
9	read_03bd3814-773f-4240-85ec-396b83f57630	2048	48128	291.75	121
10	read_041c9002-ec28-4ea4-a3d5-1db7fb5dab8c	2048	48128	173.25	294.25
11	read_045fad57-2878-4705-9a2a-4516ff4f11a5	2048	48128	150	305.5
12	read_0482c224-62bd-47de-9d78-59ca8806d454	2048	48128	275.25	232.625
13	read_04f9ec12-f5c4-403b-b43f-a7f15f998fdd	2048	48128	218.25	291.5
14	read_054a61e3-a160-4514-a3aa-1818e8829602	2048	48128	261.75	343
15	read_0573d047-226c-45c0-937f-64b74b247e60	2048	48128	302.25	126.625
16	read_05a8ff05-6a51-433c-aa4c-1b6edb96a3a2	2048	48128	217.5	302.5
17	read_05af9c55-a6c3-4393-b796-71430379735f	2048	48128	219.875	206.875
18	read_07b66d92-2d75-4750-8861-0ab0aaf0a61b	2048	48128	306.5	126.312
19	read_07f0fcb1-6b8e-47cc-990e-686bd2187c05	2048	48128	252.875	240.875
20	read_08112f06-08e8-4437-bbc7-1727f0441fc5	2048	48128	203.125	280.75
21	read_0860ecc7-3d8f-488d-9810-a60e63a7177f	2048	48128	285.5	173.5
22	read_0911fc9a-f48a-4775-bdfa-eb3df9c2665c	2048	48128	281	141.5
23	read_0a2b842a-2534-4da0-a9b6-5da64ee3ef7d	2048	48128	112.062	287.5
24	read_0afdf683-672d-4b3c-be2a-3d73a4ba912b	2048	48128	171.75	288.75
25	read_0b8fe92b-f495-4627-8be8-7aadbb516380	2048	48128	188.25	287
26	read_0b949490-d319-4035-a95a-54f742deb6dd	2048	48128	299.75	122.188
27	read_0bb5957a-1bdf-47e7-b7b8-e8f8261c78ed	2048	48128	189.25	245.875
28	read_0d17fb01-c492-45fa-be23-9875ed3602f8	2048	48128	167.625	281.75
29	read_0d651c59-e77e-411c-b6a2-0b932feb8fec	2048	48128	223.25	225.375
