Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
0	read_000f5e2e-d9b9-45cd-bf9f-6e2e0f67a3da	2048	48128	285.25	283
1	read_00104e99-46da-4c5c-8cf4-e325258827c0	2048	48128	307.5	296.5
2	read_002048a7-d114-450e-b6c0-aa40afa97544	2048	48128	286.25	293.25
3	read_00b123c5-280a-4cd3-9c49-615869f805f5	2048	48128	244	245.125
4	read_00c18a46-32bd-45d0-b6c5-fc30820b8b8d	2048	48128	295.25	284.5
5	read_00e4fee9-b4b3-4629-99e2-e6c0b6350414	2048	48128	310	322.25
6	read_01006b6d-3f4b-47ae-8734-0bb68d80ff79	2048	48128	276	275.25
7	read_0105b5e9-c593-4797-9180-ff970c98635f	2048	48128	263.75	274.75
8	read_01394b17-1864-4542-9366-3c905774f63d	2048	48128	296.75	303.25
9	read_013b9001-1c2b-4db1-aee5-180ac2de1bac	2048	48128	284.25	296
10	read_0157e809-52f0-4325-b78c-f7f0f1bda93a	2048	48128	265.75	275.25
11	read_0159a908-c580-42d8-8ad6-d3871342b836	2048	48128	272.5	281.5
12	read_01711cf4-3c4c-4059-95ed-d984a2adcf53	2048	48128	276.25	280
13	read_01a38e46-f7fc-48aa-8b33-df855de7a4a2	2048	48128	296.25	291
14	read_01ad8a9b-ecee-4691-90ed-aa1bb8e83d55	2048	48128	284.25	283.75
15	read_01bd051f-f093-496e-a1f4-0c6b68c41e7f	2048	48128	274.25	277.75
16	read_01c9813a-9166-4bb5-b2b0-5a3bb1cdd02e	2048	48128	305.5	308
17	read_01cc5e2d-5016-4327-8bb4-fea43dd5f371	2048	48128	289.25	302
18	read_01e32af8-7227-43ae-9fa5-6dbb82e9def9	2048	48128	258.25	264.5
19	read_01f57cd8-8f34-48de-a5e2-4bee4cf0160a	2048	48128	239	249.375
20	read_0229b4f3-7586-4b11-bf8b-bc80cf0d25c0	2048	48128	282.5	276.75
21	read_024bfb43-8138-4a28-b916-aeb75d97a4f8	2048	48128	288.25	310.25
22	read_0282c930-022a-4985-ae51-9d191274343c	2048	48128	253	271.25
23	read_029991ad-ea17-4058-adf1-b0f09fc9eda2	2048	48128	286.25	281
24	read_02be5d3e-120f-45a7-9bab-98e8ed3c4aa9	2048	48128	291.75	290.5
25	read_02d2d990-b814-49ff-ac87-8746f8afcb3d	2048	48128	330.25	328.75
26	read_030185c7-0fc3-42f9-8baf-a6f8ff3e99ba	2048	48128	255.875	242.5
27	read_03288017-0283-4a3d-a1d7-edb0e395a94e	2048	48128	265.75	270
28	read_0331c76e-6203-4552-b47c-a0edeb8cb249	2048	48128	256.25	268.5
29	read_034230b5-9fb1-49cf-a5a3-25f1773179a0	2048	48128	252.75	247.75
30	read_03942198-2744-43ca-9b53-6b49ae81b660	2048	48128	272.25	285
31	read_03a1a740-e71b-4b3a-80cb-b4d4d1d92031	2048	48128	241.625	255.25
32	read_049b4be0-2144-47fa-b45d-ad1a819c2e68	2048	48128	292.5	310.25
33	read_049d804c-30ed-46a6-b06c-331f98ce613e	2048	48128	278	294
34	read_04a07cc3-d9a7-4af7-aa4b-e6f6cd94d370	2048	48128	337.5	340.25
35	read_04db3e05-b4bf-43db-92e8-154864694f79	2048	48128	279.25	279
36	read_04e1d1cb-af99-4d42-8ab0-ab9db185af47	2048	48128	206.625	214.375
37	read_04e5d013-e02d-4f78-95d2-f2dd3987c1ba	2048	48128	239.625	246.5
38	read_04ec7b9f-0bf5-4a8e-bf92-e2183e64ae71	2048	48128	250.875	255.875
39	read_04ee29c2-33de-4dc9-9107-55241e817a10	2048	48128	288	288.75
40	read_04ef5d9a-c914-40e7-8110-98e198e91440	2048	48128	238.625	231.125
41	read_0514ebda-43ed-48cb-bf0b-c8d5d3aba361	2048	48128	305.75	302.25
42	read_051856ce-6d56-4c12-b0b0-193fac7a3e80	2048	48128	250.375	248.125
43	read_051c2238-7483-41be-bee5-374ee7410a90	2048	48128	245.625	243.625
44	read_051c9899-888f-4ac7-880e-735032cfcbb5	2048	48128	281.75	288.5
45	read_05500f6a-6ce0-48c9-8c65-e5295f46e7d4	2048	48128	267.25	281.75
46	read_05b0470f-99cc-46d8-b50b-8ee3980a9246	2048	48128	257.25	269
47	read_05f21d8b-6731-4f22-88a0-f580cf90465f	2048	48128	267	273.75
48	read_05f327a4-136d-4a5d-b6c7-ab37dfca33e0	2048	48128	294	301.5
49	read_060a57ea-9f39-4f0d-bf0a-92b098f74efe	2048	48128	289.75	302.5
50	read_066139c4-e9d4-4bd7-b648-7e0c3ff9609f	2048	48128	282	286.25
51	read_06679db3-c73a-4bae-88e7-f7c033488609	2048	48128	296.25	308.75
52	read_0676b516-1356-4521-a995-6378e92148d2	2048	48128	260.5	269.25
53	read_068455b0-8449-47b2-ad6b-375273cdeabf	2048	48128	256	266
54	read_068f53be-61e1-4c96-b621-cef2d404cc36	2048	48128	295.5	308
55	read_0697fa9d-68bb-4845-bbc8-bf22a40408ec	2048	48128	303	294.25
56	read_06d0ca86-6ba7-48ec-978a-e2e07e297b13	2048	48128	272.5	276.5
57	read_06efaa14-2add-42d0-8eec-c80b0b23accb	2048	48128	257.75	263.5
58	read_070f45d3-9dc8-4153-92fd-7e6c20c51fae	2048	48128	285.75	311
59	read_071c1a9b-c144-48d1-9e16-a3e8179cd42f	2048	48128	384.75	387
60	read_074bf9e5-66df-4097-abd9-86cea9da8630	2048	48128	307	306.25
61	read_07770c7b-4513-4ae3-b21a-4dbd6a68f4a7	2048	48128	324.25	338
62	read_077f4aff-259c-4942-a50a-abaf43fc85fc	2048	48128	308.25	313.5
63	read_078ea8bd-7907-4df3-96fc-10b7e0c98364	2048	48128	326.75	322.5
64	read_079492f5-1fa8-4d9d-bea4-189bd5153aae	2048	48128	322.75	316.25
65	read_07966bbd-1967-455b-a139-35bb35302b06	2048	48128	236.125	249.125
66	read_07b9cff9-b600-4374-8458-39426a48cefc	2048	48128	270	265.5
67	read_07f648a0-443c-4230-9d59-6ec06c714786	2048	48128	268.75	280.5
68	read_0810cd64-949f-4f7c-937f-9be2445d8734	2048	48128	257	264.5
69	read_0812089b-c1f5-4238-901c-8c19b2f040a9	2048	48128	214.875	198.375
